Name,City,Address,Rating_City,Rating_Food,Rating_Service,Rating_Value,Rating_Ambience,Rating_total,Rating_Excellent,Rating_Very_Good,Rating_Average,Rating_Bad,Rating_Very_Bad,Reviews,Type,Remarks,Expensive,Price,URL,Phone,Num_of_days,Menu
Kosk 1981 Cafe & Restaurant,מסעדות באיסטנבול,"‪Cankurtaran mahallesi Akbıyık Caddesi Adliye sokak no:9‬, איסטנבול 34122 טורקיה","מס' 1 מתוך 9,712 מסעדות באיסטנבול",50.0,50.0,50.0,,5.0,1,0,0,0,0,890,"ים תיכוני, ברביקיו, טורקי, מזרח תיכוני, מאכלי ים","אפשרויות לטבעונים, חלאל",‪$$ - $$$‬,31 ₪ - 51 ₪,https://www.facebook.com/K%C3%B6%C5%9Fk-1981-cafe-restaurant-101550908356750/,+90 552 693 83 04,7.0,
Mivan Restaurant Cafe,מסעדות באיסטנבול,"‪Piyerloti Caddesi No: 34‬ Sultanahmet, איסטנבול 34126 טורקיה","מס' 2 מתוך 9,712 מסעדות באיסטנבול",50.0,50.0,50.0,,5.0,"1,724",67,17,2,2,"1,812","ים תיכוני, טורקי, ברביקיו, אירופאי, בריא, מזרח תיכוני, מרקים","ידידותי לצמחוניים, אפשרויות לטבעונים, חלאל, אפשרויות ללא גלוטן",‪$$ - $$$‬,11 ₪ - 69 ₪,http://mivan-restaurant-cafe.business.site/,+90 212 517 99 29,7.0,https://www.facebook.com/mivanrestaurantcafe/menu
Pepo Restaurant,מסעדות באיסטנבול,"‪Bereketzade Mahallesi, Camekan Sokak, No:1‬ Beyoğlu, איסטנבול 34421 טורקיה","מס' 5 מתוך 9,712 מסעדות באיסטנבול",50.0,50.0,50.0,,5.0,221,0,2,1,0,224,"בר, מאכלי ים, טורקי, בר יין, מסעדת סטייקים","ארוחת צהריים, ארוחת ערב, ארוחת בוקר, שעות הלילה המאוחרות, משקאות",‪$$ - $$$‬,34 ₪ - 154 ₪,http://www.peporestaurant.com/,+90 537 366 22 42,7.0,http://peporestaurant.com/MENU/
Resto Han,מסעדות באיסטנבול,"‪Hoca Paşa, Darüssade Sok. No 4‬ Double Three Hilton Sirkeci, איסטנבול 34110 טורקיה","מס' 10 מתוך 9,712 מסעדות באיסטנבול",50.0,45.0,45.0,,5.0,662,16,4,3,1,686,"מאכלי ים, ים תיכוני, ברביקיו, טורקי","ידידותי לצמחוניים, אפשרויות לטבעונים, חלאל",‪$$ - $$$‬,17 ₪ - 51 ₪,http://www.restohan.com/,+90 553 702 95 12,7.0,http://www.restohan.com/
Turkish Cuisine,מסעדות באיסטנבול,"‪Kucuk Ayasofya Mah. Kadirga Limani Cad. No: 96/B‬ Fatih, איסטנבול 34122 טורקיה","מס' 12 מתוך 9,712 מסעדות באיסטנבול",45.0,45.0,45.0,,5.0,688,13,5,2,1,709,"ים תיכוני, ברביקיו, טורקי, מזרח תיכוני","חלאל, אפשרויות ללא גלוטן",‪$$ - $$$‬,20 ₪ - 51 ₪,http://www.facebook.com/Turkish-cuisine-103570491011396/,+90 552 453 07 21,7.0,
F&B Culture,מסעדות באיסטנבול,"‪Bereketzade Mah. Camekan Sokak No: 6‬ Beyoğlu, איסטנבול 34343 טורקיה","מס' 17 מתוך 9,712 מסעדות באיסטנבול",45.0,50.0,45.0,,5.0,"1,571",102,20,10,8,"1,711","מסעדת סטייקים, מאכלי ים, טורקי, בר יין","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,14 ₪ - 62 ₪,http://www.quandoo.com.tr/en/place/fb-culture-56081,+90 532 275 69 94,7.0,https://fandbculture.com/
Istanbul Kebab Cafe & Restaurant,מסעדות באיסטנבול,"‪Alemdar, Biçki Yurdu Sk. No 5‬, איסטנבול 34122 טורקיה","מס' 21 מתוך 9,712 מסעדות באיסטנבול",50.0,50.0,45.0,,5.0,"1,580",18,24,5,5,"1,632","מאכלי ים, ברביקיו, מזרח תיכוני, ים תיכוני","ידידותי לצמחוניים, אפשרויות לטבעונים, חלאל, אפשרויות ללא גלוטן",‪$$ - $$$‬,34 ₪ - 58 ₪,https://www.facebook.com/Istanbul-kebab-cafe-restaurant-269332187282050/,+90 537 982 73 95,7.0,
Buhara Ocakbasi Restaurant,מסעדות באיסטנבול,"‪Alemdar Mah. Nuruosmaniye Cad. No: 7‬ Sultanahmet, איסטנבול 34440 טורקיה","מס' 23 מתוך 9,712 מסעדות באיסטנבול",45.0,45.0,45.0,,5.0,"4,223",47,72,15,12,"4,369","מאכלי ים, בריא","אפשרויות לטבעונים, חלאל, אפשרויות ללא גלוטן",‪$$ - $$$‬,34 ₪ - 102 ₪,http://www.facebook.com/buhararestaurant/,+90 212 513 74 24,7.0,
Mesopotamian Terrace Restaurant,מסעדות באיסטנבול,,,,,,,5.0,611,17,5,1,2,636,,,,,,,7.0,
Fülâne Restaurant,מסעדות באיסטנבול,"‪Hocapaşa mahallesi Dervişler sokak No:7‬ Fatih, איסטנבול 34110 טורקיה","מס' 32 מתוך 9,712 מסעדות באיסטנבול",,,,,5.0,85,0,0,0,0,85,"מאכלי ים, ים תיכוני, טורקי","ארוחת צהריים, ארוחת ערב, שעות הלילה המאוחרות, משקאות",‪$$ - $$$‬,17 ₪ - 51 ₪,,+90 535 455 12 12,,https://www.google.com/maps/uv?pb=!1s0x14cab9c03ac4fc8b%253A0x59cbc7b303b25814!3m1!7e115!4shttps%253A%252F%252Flh5.googleusercontent.com%252Fp%252FAF1QipORU7dzWqZvAnv5wIxLK0GV4eW_C_XYXEDUQ2PY%253Dw160-h160-k-no!5sf%25C3%25BClane%2520restaurant%2520-%2520Google%2527da%2520Ara!15sCgIYIQ&imagekey=!1e10!2sAF1QipO53NWqVQtzABebpmCPFw-BZatxCXGurZX9G_BW&hl=tr&sa=X&ved=2ahUKEwjy6qKto_32AhV7SfEDHePzAQMQoip6BAg6EAM
