Name,City,Address,Rating_City,Rating_Food,Rating_Service,Rating_Value,Rating_Ambience,Rating_total,Rating_Excellent,Rating_Very_Good,Rating_Average,Rating_Bad,Rating_Very_Bad,Reviews,Type,Remarks,Expensive,Price,URL,Phone,Num_of_days,Menu
STŌ Mercearia,מחוז ליסבון,,,,,,,5.0,160,1,0,0,0,161,,,,,,,,
Seventh Brunch Coffee,מחוז ליסבון,,,,,,,5.0,239,12,1,0,0,252,,,,,,,,
Jam Club,מחוז ליסבון,"‪Travessa dos Inglesinhos 49‬, ליסבון 1200-223 פורטוגל","מס' 5 מתוך 4,689 מסעדות בליסבון",45.0,50.0,45.0,,5.0,22,0,0,0,0,"1,148","בר, פורטוגזית","ארוחת ערב, משקאות",$,14 ₪ - 72 ₪,https://www.facebook.com/jamclublisboa/,+351 910 455 138,7.0,https://www.facebook.com/jamclublisboa/menu
Floresta Das Escadinhas,מחוז ליסבון,"‪Rua de Santa Justa 3‬, ליסבון 1100-483 פורטוגל","מס' 9 מתוך 4,689 מסעדות בליסבון",45.0,45.0,45.0,40.0,5.0,"2,382",471,55,21,15,"2,944","ים תיכוני, ברביקיו, אירופאי, בריא, פורטוגזית, גריל",אפשרויות ללא גלוטן,$,25 ₪ - 47 ₪,http://www.facebook.com/FlorestadasEscadinhas,+351 21 887 2052,6.0,https://www.tripadvisor.co.il/Restaurant_Review-g189158-d1520116-Reviews-Floresta_Das_Escadinhas-Lisbon_Lisbon_District_Central_Portugal.html#
Prova - Enoteca,מחוז ליסבון,"‪Rua Duarte Pacheco Pereira 9E‬, ליסבון 1400-139 פורטוגל","מס' 12 מתוך 4,689 מסעדות בליסבון",50.0,50.0,45.0,,5.0,424,26,8,4,2,464,"ים תיכוני, אירופאי, בריא, פורטוגזית, בר יין","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,32 ₪ - 144 ₪,http://www.facebook.com/ProvaEnoteca/,+351 21 581 9080,5.0,https://www.tripadvisor.co.il/Restaurant_Review-g189158-d13386325-Reviews-Prova_Enoteca-Lisbon_Lisbon_District_Central_Portugal.html#
Agulha No Palheiro,מחוז ליסבון,"‪Rua do Jardim do Tabaco 5‬, ליסבון 1100-286 פורטוגל","מס' 17 מתוך 4,689 מסעדות בליסבון",50.0,50.0,50.0,,5.0,637,61,14,5,7,724,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",ארוחת ערב,‪$$ - $$$‬,"ים תיכוני, אירופאי, בריא, פורטוגזית, עכשווי, פיוז'ן",http://www.facebook.com/Agulha-no-Palheiro-523471601082373/,+351 21 090 7441,5.0,https://www.thefork.pt/restaurante/agulha-no-palheiro-r213237/menu
A Nossa Casa,מחוז ליסבון,"‪Rua da Atalaia nº 31‬, ליסבון 1200-037 פורטוגל","מס' 22 מתוך 4,689 מסעדות בליסבון",50.0,50.0,45.0,,5.0,937,80,22,9,8,"1,056","ברזילאי, פורטוגזית","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,85 ₪ - 119 ₪,http://order.estart4.com/a-nossa-casa,+351 21 342 0484,6.0,https://a-nossa-casa0.cms.webnode.pt/nosso-cardapio/
Crisfama,מחוז ליסבון,"‪Rua da Cruz de Santa Apolonia 58‬, ליסבון 1100-188 פורטוגל","מס' 24 מתוך 4,689 מסעדות בליסבון",45.0,45.0,50.0,45.0,4.5,"1,091",191,41,22,6,"1,351","מאכלי ים, ים תיכוני, אירופאי, בריא, פורטוגזית",אפשרויות ללא גלוטן,$,72 ₪ - 90 ₪,http://www.facebook.com/restaurantecrisfama.lisboa,+351 964 082 028,4.0,
Legumi Sushi Vegan,מחוז ליסבון,"‪Calcada Do Combro 56‬ Proximo ao Largo de Camões, ליסבון 1200-452 פורטוגל","מס' 31 מתוך 4,689 מסעדות בליסבון",50.0,45.0,45.0,,5.0,137,14,3,0,2,156,"יפני, סושי, אסייתי, בריא, בינלאומי, פיוז'ן","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,17 ₪ - 79 ₪,http://www.legumisushivegan.com/,+351 920 440 495,5.0,https://www.legumisushivegan.com/en/menu
Solar 31 - Peixe e Marisco,מחוז ליסבון,"‪Calcada do Garcia 31‬, ליסבון 1150-167 פורטוגל","מס' 32 מתוך 4,689 מסעדות בליסבון",50.0,45.0,45.0,,5.0,159,11,6,0,2,178,"מאכלי ים, ים תיכוני, אירופאי, פורטוגזית","אפשרויות ללא גלוטן, אפשרויות לטבעונים",‪$$ - $$$‬,36 ₪ - 108 ₪,http://www.solar31.com/,+351 925 491 807,6.0,
O Vinhaca Tapas & Vinhos,מחוז ליסבון,"‪Rua do Salvador N. 53‬, ליסבון 1100-464 פורטוגל","מס' 35 מתוך 4,689 מסעדות בליסבון",45.0,50.0,45.0,,5.0,412,45,17,6,3,483,ידידותי לצמחוניים,"ארוחת צהריים, ארוחת ערב",‪$$ - $$$‬,"ים תיכוני, אירופאי, בריא, פורטוגזית, בר יין",http://www.facebook.com/ovinhaca/,+351 968 047 184,,
Yak and Yeti Restaurant,מחוז ליסבון,"‪Calcada de Santo Andre 17‬, ליסבון 1100-495 פורטוגל","מס' 39 מתוך 4,689 מסעדות בליסבון",45.0,45.0,45.0,,4.5,652,114,20,8,11,805,"טיבטי, הודי, בריא, נפאלי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",$,54 ₪ - 72 ₪,http://www.restaurantyakandyeti.com/,+351 21 822 0350,7.0,https://restaurantyakandyeti.com/food_menu.pdf
DaPrata52,מחוז ליסבון,"‪Rua da Prata 52‬, ליסבון 1100-150 פורטוגל","מס' 47 מתוך 4,689 מסעדות בליסבון",45.0,45.0,45.0,45.0,4.5,"2,044",461,98,42,40,"2,685","ים תיכוני, אירופאי, פורטוגזית, עכשווי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,72 ₪ - 108 ₪,http://daprata52.pt/en_GB/,+351 918 776 261,1.0,http://www.daprata52.pt/
Lisbon Winery,מחוז ליסבון,"‪Rua da Barroca 13‬, ליסבון 1200-047 פורטוגל","מס' 52 מתוך 4,689 מסעדות בליסבון",45.0,50.0,45.0,,4.5,550,118,15,10,4,697,"פורטוגזית, בר יין",ארוחת ערב,‪$$ - $$$‬,36 ₪ - 90 ₪,http://www.lisbonwinery.com/,+351 21 826 0132,,
