Name,City,Address,Rating_City,Rating_Food,Rating_Service,Rating_Value,Rating_Ambience,Rating_total,Rating_Excellent,Rating_Very_Good,Rating_Average,Rating_Bad,Rating_Very_Bad,Reviews,Type,Remarks,Expensive,Price,URL,Phone,Num_of_days,Menu
Marea Seafood & Beverage,מילאנו,"‪Via Papa Gregorio XIV 16‬, 20123 מילאנו איטליה","מס' 1 מתוך 6,898 מסעדות במילאנו",50.0,50.0,45.0,,5.0,170,5,1,0,0,176,"ארוחת צהריים, ארוחת ערב, משקאות","הזמנות, ישיבה, מגישה אלכוהול, Wi-fi חינם, מקבל כרטיסי אשראי, שירות לשולחנות, אוכל לקחת, חניה ברחוב, תשלומים דיגיטליים, ידידותי לכלבים",‪$$ - $$$‬,"איטלקי, מאכלי ים, עכשווי, ים תיכוני, בריא, ברים עם אוכל",http://www.mareamilano.it/,+39 02 8457 0315,6.0,https://drive.google.com/drive/folders/1BQCAkA9sL2x71osZd36MhkHbwp1l6tOo?usp=sharing
Mabuhay Restaurant,מילאנו,"‪Bastioni di Porta Volta 9‬, 20121 מילאנו איטליה","מס' 2 מתוך 6,898 מסעדות במילאנו",50.0,50.0,50.0,,5.0,6,1,0,0,0,706,פיליפיני,"ידידותי לצמחוניים, אפשרויות לטבעונים",$,7 ₪ - 47 ₪,http://mabuhayrestaurantmilan.wordpress.com/,+39 02 3006 5018,6.0,
Il Panino del Laghetto,מילאנו,"‪Via Laghetto 7‬, 20122 מילאנו איטליה","מס' 5 מתוך 6,898 מסעדות במילאנו",45.0,45.0,45.0,45.0,5.0,173,21,3,0,1,198,"איטלקי, מזון מהיר, מאכלי רחוב","ידידותי לצמחוניים, אפשרויות לטבעונים",$,14 ₪ - 43 ₪,http://www.facebook.com/ilpaninodellaghetto/,+39 339 383 8785,6.0,
Piadineria Artigianale Pascoli,מילאנו,"‪Via Nicolo' Paganini 2‬, 20131 מילאנו איטליה","מס' 9 מתוך 6,898 מסעדות במילאנו",45.0,45.0,45.0,45.0,4.5,664,186,36,4,2,892,"איטלקי, מזון מהיר, בריא, אמיליאני, צפון-איטלקי","ידידותי לצמחוניים, אפשרויות לטבעונים",$,14 ₪ - 22 ₪,http://www.piadineriapascoli.it/,+39 02 4776 6805,6.0,https://www.piadineriapascoli.it/premenu/
Focus Bracerie Italiane,מילאנו,"‪Piazzale Segrino 5‬, 20159 מילאנו איטליה","מס' 4 מתוך 1,890 ים תיכוני במילאנו",45.0,50.0,45.0,,5.0,212,18,6,0,4,240,"ארוחת צהריים, ארוחת ערב","הזמנות, ישיבה, מגישה אלכוהול, בר מלא, שירות לשולחנות",‪$$ - $$$‬,"איטלקי, מסעדת סטייקים, ים תיכוני, ברביקיו",http://www.focusbracerie.it/,+39 02 4945 3523,7.0,
Just Cavalli Milano - Restaurant,מילאנו,,,,,,,3.0,134,127,124,87,100,572,,,,,,,,
Wave Cocktail Bar,מילאנו,"‪Via Edmondo de Amicis 28‬, 20123 מילאנו איטליה","מס' 20 מתוך 6,898 מסעדות במילאנו",45.0,45.0,45.0,,5.0,289,30,9,3,4,335,"בר, אירופאי, פאב, בר יין, גסטרופאב","ארוחת ערב, שעות הלילה המאוחרות",‪$$ - $$$‬,22 ₪ - 54 ₪,http://www.wavecocktailbar.it/,+39 380 371 4058,7.0,http://wavecocktailbar.it/menu-copy.html
La Tartina,מילאנו,"‪Via San Carpoforo 4‬ Brera Area, 20121 מילאנו איטליה","מס' 21 מתוך 6,898 מסעדות במילאנו",45.0,45.0,40.0,45.0,4.5,564,127,32,14,21,758,"איטלקי, בית קפה, עכשווי, ברים עם אוכל","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,7 ₪ - 905 ₪,http://www.instagram.com/latartinamilano,+39 02 3670 4900,7.0,
Kandoo Nippon Restaurant,מילאנו,,,,,,,4.5,292,199,49,18,6,564,,,,,,,6.0,
l’Anlot e Oltre,מילאנו,"‪Via Raffaello Sanzio 30‬, 20149 מילאנו איטליה","מס' 32 מתוך 6,898 מסעדות במילאנו",45.0,45.0,40.0,,4.5,125,26,8,1,0,160,"איטלקי, ים תיכוני, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,36 ₪ - 177 ₪,http://www.anloteoltre.com/,+39 02 8276 5876,6.0,
Bottega Sicula Pescheria,מילאנו,"‪Via Mantova 5‬, 20135 מילאנו איטליה","מס' 35 מתוך 6,898 מסעדות במילאנו",45.0,45.0,40.0,,4.5,"1,047",191,65,41,59,"1,403","ים תיכוני, איטלקי, מאכלי ים, בריא, סיציליאני, דרום איטלקי","ידידותי לצמחוניים, אפשרויות ללא גלוטן",‪$$ - $$$‬,90 ₪ - 127 ₪,http://bottegasiculamilano.com/,+39 02 3653 4241,7.0,
Soprattutto,מילאנו,"‪Piazza Cartagine 4‬, 20138 מילאנו איטליה","מס' 39 מתוך 6,898 מסעדות במילאנו",45.0,45.0,45.0,,4.5,104,34,4,1,1,144,"איטלקי, בר, ים תיכוני, ברביקיו, מסעדת סטייקים, פאב מבשלה, גריל",אפשרויות ללא גלוטן,‪$$ - $$$‬,36 ₪ - 145 ₪,http://www.facebook.com/soprattuttocarneebirra/,+39 02 5801 5956,6.0,
Piadineria Doppio Zero,מילאנו,"‪Via Piero della Francesca 68‬, 20154 מילאנו איטליה","מס' 41 מתוך 6,898 מסעדות במילאנו",45.0,45.0,45.0,40.0,4.5,220,90,12,2,0,324,"ידידותי לצמחוניים, אפשרויות לטבעונים","ארוחת צהריים, ארוחת ערב",$,איטלקי,https://www.facebook.com/pages/Piadineria-Doppio-Zero/504217762966605,+39 339 223 8657,,
Cantine Milano,מילאנו,,,,,,,4.5,305,151,34,21,7,518,,,,,,,7.0,
G sushi - Oriental Pleasure,מילאנו,"‪Via Losanna 11‬, 20154 מילאנו איטליה","מס' 50 מתוך 6,898 מסעדות במילאנו",50.0,50.0,45.0,,4.5,165,48,3,6,2,224,"יפני, מאכלי ים, סושי, אסייתי","ידידותי לצמחוניים, אפשרויות ללא גלוטן",‪$$ - $$$‬,18 ₪ - 109 ₪,https://www.gsushi.it/,+39 02 331 3532,6.0,
Seta,מילאנו,"‪Via Andegari 9‬ Mandarin Oriental Milan, 20121 מילאנו איטליה","מס' 51 מתוך 6,898 מסעדות במילאנו",45.0,45.0,40.0,,4.5,787,160,48,24,12,"1,031","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב",$$$$,"איטלקי, מאכלי ים, ים תיכוני, אירופאי",https://www.mandarinoriental.com/milan/la-scala/fine-dining/restaurants/italian-cuisine/seta?htl=MOMLN&kw=MOMLN_seta&eng=yext&src=local,+39 02 8731 8897,5.0,https://www.mandarinoriental.com/milan/la-scala/fine-dining/restaurants/italian-cuisine/seta/menu
Pomet Milano,מילאנו,"‪Via Valpetrosa 1‬ Angolo Via Torino, 20123 מילאנו איטליה","מס' 61 מתוך 6,898 מסעדות במילאנו",45.0,45.0,45.0,,4.5,819,135,39,15,26,"1,034","איטלקי, פיצה, ים תיכוני, אירופאי","ידידותי לצמחוניים, אפשרויות לטבעונים",$,41 ₪ - 86 ₪,https://www.facebook.com/pometmilan/,+39 02 7210 5356,,
Rizzo Come A Casa,מילאנו,"‪Via Varesina 163‬, 20156 מילאנו איטליה","מס' 62 מתוך 6,898 מסעדות במילאנו",45.0,45.0,45.0,,4.5,731,187,45,11,17,991,"איטלקי, מאכלי ים, ים תיכוני, אירופאי, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,72 ₪ - 145 ₪,http://rizzocomeacasa.com/,+39 02 3343 1159,7.0,https://www.rizzocomeacasa.com/category/menu/
Sapori Solari - La Bisteccheria,מילאנו,"‪Viale Bligny 42‬, 20136 מילאנו איטליה","מס' 65 מתוך 6,898 מסעדות במילאנו",45.0,45.0,45.0,,4.5,195,22,10,5,7,239,"איטלקי, מסעדת סטייקים, ברביקיו, גריל",אפשרויות ללא גלוטן,$$$$,43 ₪ - 217 ₪,http://www.saporisolari.com/,+39 02 3663 2712,6.0,https://drive.google.com/file/d/1MHcDiyqCYWLi3Ewr-2qGTd51BsTz_tnL/view
Boccondivino,מילאנו,"‪Via Giosue' Carducci 17‬ Sant' Ambrogio area, 20123 מילאנו איטליה","מס' 69 מתוך 6,898 מסעדות במילאנו",45.0,45.0,40.0,45.0,4.5,591,256,32,16,10,905,"איטלקי, ים תיכוני, בר יין, לומברד, צפון-איטלקי",אפשרויות ללא גלוטן,‪$$ - $$$‬,127 ₪ - 271 ₪,http://www.boccondivino.com/,+39 02 866040,,http://www.boccondivino.com/ristorante/menu/
Bottega Valtellina 18,מילאנו,"‪Via Valtellina 18‬, 20159 מילאנו איטליה","מס' 71 מתוך 6,898 מסעדות במילאנו",45.0,45.0,40.0,,4.5,328,139,19,4,5,495,"איטלקי, פיצה, ים תיכוני, גריל, מסעדת סטייקים, ברביקיו","ידידותי לצמחוניים, אפשרויות ללא גלוטן",‪$$ - $$$‬,72 ₪ - 181 ₪,http://bottegavaltellina18.it/,+39 02 668 4285,,
Wagamama,מילאנו,,,,,,,3.0,13,1,7,6,7,34,,,,,,,,
G.B. Bar,מילאנו,"‪Via Ulrico Hoepli 3‬ (at Via Hoepli), 20121 מילאנו איטליה","מס' 80 מתוך 6,898 מסעדות במילאנו",45.0,45.0,45.0,40.0,4.5,683,317,56,18,9,"1,083","ידידותי לצמחוניים, אפשרויות לטבעונים","משקאות, ארוחת בוקר, ארוחת צהריים, בראנץ'",$,"איטלקי, בר, בית קפה, מזון מהיר",http://www.facebook.com/GB-Bar-105836702840183/,+39 02 863446,,
