Name,City,Address,Rating_City,Rating_Food,Rating_Service,Rating_Value,Rating_Ambience,Rating_total,Rating_Excellent,Rating_Very_Good,Rating_Average,Rating_Bad,Rating_Very_Bad,Reviews,Type,Remarks,Expensive,Price,URL,Phone,Num_of_days,Menu
Bonoo Indian Tapas,לונדון,"‪675 Finchley Road‬, לונדון NW2 2JP אנגליה","מס' 2 מתוך 17,508 מסעדות בלונדון",50.0,50.0,45.0,,5.0,20,2,1,0,9,"1,413","בר יין, הודי, עכשווי, מאכלי רחוב","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,84 ₪ - 126 ₪,http://www.bonoo.co.uk/,+44 20 7794 8899,7.0,https://www.bonoomenu.co.uk/
Hibox,לונדון,"‪48 Goodge Street‬, לונדון W1T 4LX אנגליה","מס' 3 מתוך 17,508 מסעדות בלונדון",50.0,50.0,50.0,,5.0,198,2,0,0,0,200,"לבנוני, ים תיכוני, מזרח תיכוני, מזון מהיר, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים, חלאל, אפשרויות ללא גלוטן",$,21 ₪ - 34 ₪,http://www.hibahibox.com/,+44 20 7580 9312,5.0,
Alexander The Great,לונדון,,,,,,,5.0,"2,574",206,52,30,46,"2,908",,,,,,,7.0,
Andy's Greek Taverna,לונדון,"‪23 Pratt Street‬ Camden, לונדון NW1 0BG אנגליה","מס' 11 מתוך 17,508 מסעדות בלונדון",45.0,50.0,45.0,,5.0,"1,810",202,50,26,10,"2,098","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",ארוחת ערב,‪$$ - $$$‬,"ים תיכוני, אירופאי, יווני, בריא",http://www.andystaverna.co.uk/,+44 20 7485 9718,7.0,https://www.andystaverna.co.uk/
Scarlett Green,לונדון,"‪4 Noel Street‬ Soho, לונדון W1F 8GB אנגליה",מס' 6 מתוך 831 בריא בלונדון,45.0,45.0,45.0,,5.0,"1,806",93,29,24,13,"1,965","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת בוקר, ארוחת צהריים, ארוחת ערב, בראנץ', משקאות",‪$$ - $$$‬,"בריא, אוסטרלי, ברביקיו, פיוז'ן",http://www.daisygreenfood.com/venues/scarlett-green,+44 20 3653 2010,7.0,https://www.daisygreenfood.com/menus
Paladar,לונדון,,,,,,,5.0,722,54,26,13,2,817,,,,,,,7.0,
Lizzie's Cucina - Italian Restaurant,לונדון,,,,,,,5.0,171,7,0,0,3,181,,,,,,,6.0,
Awesome Thai #Finchley,לונדון,"‪826 High Road‬ North Finchley, לונדון N12 9RA אנגליה",מס' 1 מתוך 479 תאילנדי בלונדון,50.0,50.0,50.0,,5.0,79,4,0,0,0,83,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב",‪$$ - $$$‬,"אסייתי, תאילנדי, בריא",http://awesomethai.co.uk/,+44 20 8492 8477,7.0,http://www.awesomethai.co.uk/
The Rajdoot,לונדון,"‪49 Paddington Street‬ Marylebone, לונדון W1U 4HW אנגליה","מס' 32 מתוך 17,508 מסעדות בלונדון",45.0,45.0,45.0,40.0,4.5,"1,569",264,69,36,43,"1,981","הודי, אסייתי, בלטי","ידידותי לצמחוניים, אפשרויות לטבעונים, חלאל, אפשרויות ללא גלוטן",‪$$ - $$$‬,84 ₪ - 126 ₪,http://www.therajdootindian.com/,+44 20 7486 2055,7.0,https://www.chefonline.co.uk/the-rajdoot-marylebone-west-london-w1u/menu
Almas Restaurant,לונדון,"‪St John'Swood 83 Abbey Road‬, לונדון NW8 0AG אנגליה","מס' 33 מתוך 17,508 מסעדות בלונדון",50.0,50.0,50.0,,5.0,95,3,1,1,0,100,"פרסי, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים, חלאל",‪$$ - $$$‬,21 ₪ - 75 ₪,http://www.almasrestaurant.co.uk/,+44 20 7625 6968,,http://www.almasrestaurant.co.uk/
