Name,City,Address,Rating_City,Rating_Food,Rating_Service,Rating_Value,Rating_Ambience,Rating_total,Rating_Excellent,Rating_Very_Good,Rating_Average,Rating_Bad,Rating_Very_Bad,Reviews,Type,Remarks,Expensive,Price,URL,Phone,Num_of_days,Menu
Sangam Indian Restaurant,פראג,"‪Sokolovska 161/71‬, פראג 186 00 צ'כיה","מס' 1 מתוך 4,747 מסעדות בפראג",50,45,45,,5,25,0,0,0,0,"2,780","הודי, אסייתי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,54 ₪ - 181 ₪,https://www.sangam.cz/index.php/en/#section-5,+420 770 629 001,7,http://www.sangam.cz/
Bagel Lounge Florenc,פראג,"‪Sokolovská 343/21‬, פראג 18600 צ'כיה","מס' 2 מתוך 4,747 מסעדות בפראג",45,50,45,,5,317,18,2,1,1,339,"אמריקאי, בית קפה, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים",‪$$ - $$$‬,15 ₪ - 44 ₪,http://florenc.bagellounge.cz/,+420 771 157 730,7,https://bagellounge.cz/wp-content/uploads/2022/05/Menu.pdf
Jaffa Restaurant,פראג,,,,,,,5,"1,761",78,36,21,29,"1,925","ידידותי לצמחוניים, אפשרויות לטבעונים, חלאל, אפשרויות ללא גלוטן","ארוחת בוקר, ארוחת צהריים, ארוחת ערב, בראנץ', שעות הלילה המאוחרות, משקאות",,"מזרח תיכוני, לבנוני, ערבית",,,7,
Indian Accent,פראג,"‪Namesty Republiky 1078/1, Prague 1‬ 2nd Floor, Palladium Mall, פראג 110 00 צ'כיה","מס' 9 מתוך 4,747 מסעדות בפראג",45,45,45,,5,191,6,1,1,3,202,"הודי, אסייתי, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,12 ₪ - 58 ₪,http://www.indianaccent.cz/,+420 770 629 002,7,https://www.indianaccent.cz/menu/
Wine O'Clock Shop Prague,פראג,"‪Liliova 16‬ Old Town, פראג 110 00 צ'כיה","מס' 11 מתוך 4,747 מסעדות בפראג",50,50,45,,5,"1,684",168,41,12,20,"1,925","איטלקי, ים תיכוני, אירופאי, בר יין, בינלאומי","ידידותי לצמחוניים, אפשרויות ללא גלוטן",‪$$ - $$$‬,29 ₪ - 43 ₪,http://www.wineoclockprague.com/,+420 773 201 216,,http://www.wineoclockprague.com/menu.html
Hanoi Square Live Music Lounge & Bar,פראג,,,,,,,5,15,0,0,0,0,15,"אסייתי, וייטנאמי, בר, פאב","ארוחת ערב, שעות הלילה המאוחרות, משקאות",,"690 ₪ - 10,351 ₪",,,,
Rangoli - Smichov,פראג,"‪Vltavská 15/523‬ walking distance from Anděl metro station, פראג 15000 צ'כיה","מס' 20 מתוך 4,747 מסעדות בפראג",50,50,45,,5,119,6,2,2,0,129,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב, משקאות",‪$$ - $$$‬,הודי,http://www.rangolismichov.cz/,+420 774 774 549,7,https://www.rangolismichov.cz/en/jidelni-listek/
Rang De Basanti,פראג,,,,,,,5,186,20,2,1,3,212,"בראנץ', ארוחת צהריים, ארוחת ערב, משקאות","משלוח, ישיבה בחוץ, מציעה כיסאות אוכל לתינוקות, שירות לשולחנות, אוכל לקחת, הזמנות, ישיבה, חניה זמינה, חניה ברחוב, חניה פרטית בחינם, נגישות לכיסא גלגלים, מגישה אלכוהול, בר מלא, יין ובירה, מכבדת מאסטרקארד, מכבדת ויזה, תשלומים דיגיטליים, Wi-fi חינם, מקבל כרטיסי אשראי, מגרשי משחקים, ידידותי לכלבים, בסגנון משפחתי, מסעדות ללא עישון, כרטיס מתנה זמין",,"הודי, אסייתי",,,,
Grand Cru Restaurant,פראג,"‪Lodecka 1181/4‬, פראג 110 00 צ'כיה","מס' 31 מתוך 4,747 מסעדות בפראג",45,45,45,45,4.5,548,79,26,12,3,668,"אירופאי, מרכז אירופאי, בינלאומי, עכשווי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",$$$$,36 ₪ - 130 ₪,http://www.grand-cru.cz/,+420 775 044 076,6,https://grand-cru.cz/index.php/cs/menu
Curry Palace,פראג,"‪Jireckova 13/1014‬ Letenske namesti Tram stop, פראג 170 00 צ'כיה","מס' 32 מתוך 4,747 מסעדות בפראג",45,45,45,45,4.5,423,49,11,9,8,500,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב, שעות הלילה המאוחרות, משקאות",‪$$ - $$$‬,"הודי, אסייתי, בנגלדשי",http://www.currypalace.cz/,+420 775 146 252,,http://www.currypalace.cz/poledni-menu
